Investor Name;Investor Name URL;Number of Investments;Number of Exited Companies;Location;Investor Type;Description;Website;Twitter;Facebook;LinkedIn;Number of Portfolio Companies;Number of Lead Investments;Program Duration;Next Application Deadline;Program Type
Afore Capital;https://www.crunchbase.com/organization/afore-capital;;;San Francisco, California, United States;Micro VC;Afore Capital is a venture fund that focuses on pre-seed stage exclusively and is based in the San Francisco Bay Area.;http://afore.vc/;;;;;;;;
Agile Capital Partners;https://www.crunchbase.com/organization/agile-capital-partners;2;1;Belvedere Tiburon, California, United States;Private Equity Firm;Agile Capital Partners is a California-based investment company that offers private equity funding opportunities.;http://www.agilecapitalpartners.com/approach.html;;;;2;1;;;
Agilent Ventures;https://www.crunchbase.com/organization/agilent-ventures;7;1;Palo Alto, California, United States;Corporate Venture Capital;Put simply, Agilent Ventures invests in private early-stage high-technology companies. The organization focuses on investments in life;;;;;5;1;;;
Agility Capital;https://www.crunchbase.com/organization/agility-capital;42;12;Santa Barbara, California, United States;Venture Debt;Agility Capital, a venture debt fund, offers senior debt solutions to venture capital-backed private companies in the Western United States.;http://www.agilitycap.com;http://twitter.com/agilitycap;;http://www.linkedin.com/company/3059038;40;2;;;
AGR Partners;https://www.crunchbase.com/organization/agr-partners;;;Visalia, California, United States;Venture Capital;AGR Partners takes a local approach to its global pursuit of prosperous opportunities in the food and agriculture sector.;http://agrpartners.com/;;;;;;;;
AIG Horizon Partners;https://www.crunchbase.com/organization/aig-horizon-partners;2;1;San Francisco, California, United States;Private Equity Firm;AIG Horizon Partners is a San Francisco-based investment banking firm that provides financial advisory services.;http://www;;;;2;;;;
Airbus Ventures;https://www.crunchbase.com/organization/airbus-ventures;2;;San Jose, California, United States;Venture Capital;Independent VC firm investing in the most visionary entrepreneurs;http://www.airbusventures.vc/;https://www.twitter.com/airbusventures;;;2;1;;;
Akers Capital;https://www.crunchbase.com/organization/akers-capital;2;1;Fair Oaks, California, United States;Venture Capital;Akers Capital manages Pac West Technology Fund I, LP, an investment partnership that invests in emerging technology companies in the;http://www.akerscapital.com;;;;2;;;;
Al Shugart International (ASI);https://www.crunchbase.com/organization/al-shugart-international-asi;6;1;Santa Cruz, California, United States;Micro VC;Al Shugart International (ASI) is a venture capital company focused on helping entrepreneurs launch new enterprises.;http://www.vfinance.com/home.asp?ToolPage=venca_extnd.asp&Tracker=&id=112500&P=2;;;;5;1;;;
Alafi Capital;https://www.crunchbase.com/organization/alafi-capital;12;6;San Francisco, California, United States;Venture Capital;Alafi Capital is a private venture capital firm specialized in early- and mid-stage investments in the U.S. and Europe healthcare industry.;http://www.alafi.com;;;;10;2;;;
Alethea Capital Management;https://www.crunchbase.com/organization/alethea-capital-management;2;;Rancho Santa Fe, California, United States;Venture Capital;Alethea Capital Management is an SEC-registered investment advisor founded in March of 2011;http://aletheallc.com;;;;1;;;;
Alexandria Real Estate Equities;https://www.crunchbase.com/organization/alexandria-real-estate-equities;30;4;Pasadena, California, United States;Venture Capital;Alexandria Real Estate Equities, Inc., Landlord of Choice to the Life Science Industry, is the largest owner and pre-eminent;http://www.are.com/;;;http://www.linkedin.com/company/alexandria-real-estate-equities-inc.;23;1;;;
Alexandria Venture;https://www.crunchbase.com/organization/alexandria-venture;28;4;San Francisco, California, United States;Venture Capital;An Investment-Grade REIT for the Science & Technology Industries;http://www.are.com/;;;;25;2;;;
Alfidi Capital;https://www.crunchbase.com/organization/alfidi-capital-llc;;;San Francisco, California, United States;Private Equity Firm;Alfidi Capital is a privately held investment research firm. the founder publishes original research on securities and commentary on;http://www.alfidicapital.com;https://www.twitter.com/tonyalfidi;https://www.facebook.com/alfidicapital;https://www.linkedin.com/company/alfidi-capital-llc;;;;;
Algorithm Capital;https://www.crunchbase.com/organization/algorithm-capital;;;Santa Clara, California, United States;Micro VC;Alorithm Capital is a financial company devoted to intellectual property developers and licensors.;http://www.algorithmcapital.com;;;;;;;;
Aligned Partners;https://www.crunchbase.com/organization/aligned-partners;4;1;Menlo Park, California, United States;Venture Capital;We believe that the interests of investors and entrepreneurs can and should be aligned. Startups today have access to more tools and;http://alignedvc.com;http://twitter.com/AlignedPartners;;;4;2;;;
Allegiance Capital;https://www.crunchbase.com/organization/allegiance-capital;1;1;Huntington Beach, California, United States;Private Equity Firm;Allegiance Capital is an investment advisory firm which focuses on providing fixed income solutions to investors through its family of;http://www.allegiancecapital.com;;;;1;;;;
Allegis Capital;https://www.crunchbase.com/organization/allegis-capital;91;15;Palo Alto, California, United States;Venture Capital;Allegis Capital invests in early stage companies developing technology and software to serve emerging markets.;http://www.allegiscapital.com;http://twitter.com/AllegisCapital;;;48;21;;;
Allegro Venture Partners;https://www.crunchbase.com/organization/allegro-venture-partners;13;1;Los Altos, California, United States;Venture Capital;Allegro brings 20 years of experience investing in seed and early-stage technology to bear.;http://www.allegrovc.com;http://twitter.com/seedventure;;;10;2;;;
Alliance Acquisitions;https://www.crunchbase.com/organization/alliance-acquisitions-inc;2;1;Los Angeles, California, United States;Private Equity Firm;Alliance Acquisitions, a growth management company, offers advisory services, management expertise and financing for early-stage companies.;http://www.alliance-acquisitions.com;;;;2;;;;
Alloy Ventures;https://www.crunchbase.com/organization/alloy-ventures;145;40;Palo Alto, California, United States;Venture Capital;Alloy Ventures is a private equity firm, invests in the entrepreneurs creating the next generation of ground-breaking Information Technology;http://www.alloyventures.com;http://twitter.com/Alloy_Ventures;;;79;28;;;
Allure Ventures Inc;https://www.crunchbase.com/organization/allure-ventures-inc;1;;Irvine, California, United States;Venture Capital;Allure Ventures Inc is a event entertainment company.;http://www.allureventures.com/;https://www.twitter.com/allureventures;;;1;;;;
Almaz;https://www.crunchbase.com/organization/almaz-capital;45;5;Portola Valley, California, United States;Venture Capital;Almaz Capital is an early stage venture capital firm investing in entrepreneurs and engineering talent in high-growth tech sectors.;http://www.almazcapital.com;http://twitter.com/almazcapital;http://www.facebook.com/simonova;http://www.linkedin.com/company/almaz-capital;33;18;;;
Alsop Louie Partners;https://www.crunchbase.com/organization/alsop-louie-partners;55;14;San Francisco, California, United States;Venture Capital;Alsop Louie Partners is a risk-oriented technology venture capital firm that offers financial services to early stage companies.;http://www.alsop-louie.com;http://twitter.com/alsoplouie;http://www.facebook.com/pages/Alsop-Louie-Partners/100705716664097;;43;22;;;
Alt-Capital;https://www.crunchbase.com/organization/alt-capital;;;Beverly Hills, California, United States;Micro VC;Syndicated angel investment fund in San Francisco and Pittsburgh;http://alt-capital.com;;http://www.facebook.com/pages/Eric-Silver/280667148626573;;;;;;
Alta Partners;https://www.crunchbase.com/organization/alta-partners;174;57;San Francisco, California, United States;Venture Capital;Alta Partners is a leading venture capital firm in life sciences, funding over 130 companies in the industry since 1996.;http://www.altapartners.com;;;;97;43;;;
Altamont Capital Partners;https://www.crunchbase.com/organization/altamont-capital-partners;4;1;Palo Alto, California, United States;Private Equity Firm;Altamont Capital Partners is a private equity firm with $1.3 billion in capital under management, focused primarily on making long term.;http://www.altamontcapital.com;;;;4;2;;;
Alten Capital;https://www.crunchbase.com/organization/alten-capital;1;;San Francisco, California, United States;Angel Group;Technology seed investment focus;http://altencapital.com;http://twitter.com/altencapital;https://www.facebook.com/altencapital;;1;1;;;
Altos Health;https://www.crunchbase.com/organization/altos-health;;;Los Altos, California, United States;Venture Capital;Altos Health is a venture capital firm specializing in growth capital investments.;http://www.altoshealth.com/;;;;;;;;
Altos Ventures;https://www.crunchbase.com/organization/altos-ventures;133;13;Menlo Park, California, United States;Venture Capital;Altos Ventures is a first-stage venture capital firm. The firm has been the first and lead investor in over 50 high-growth technology;http://www.altos.vc;http://twitter.com/altosvc;http://www.facebook.com/altosventures;https://www.linkedin.com/company/395378;72;26;;;
Altpoint Ventures;https://www.crunchbase.com/organization/altpoint-ventures;12;2;Los Angeles, California, United States;Venture Capital;Altpoint Ventures is a US-based venture capital fund committed to invest in technology companies.;http://www.altpointventures.com;;;;11;5;;;
Altura Ventures;https://www.crunchbase.com/organization/altura-ventures;;;Monterey Park, California, United States;Angel Group;Altura Ventures is an evangelist for the entrepreneurial approach to business. We believe that both the world's economy and everyone's;http://www.altura.com;;;;;;;;
Amasia;https://www.crunchbase.com/organization/amasia;30;1;Burlingame, California, United States;Venture Capital;Helping Technology Companies Get Global.;http://www.amasia.vc/;https://twitter.com/amasiaco;;https://www.linkedin.com/company/6467951;24;3;;;
AMD Ventures;https://www.crunchbase.com/organization/amd-ventures;2;;Sunnyvale, California, United States;Venture Capital;Through AMD Ventures, AMDâ€™s investment program, AMD invests in strategic software and application ecosystem companies that serve large and;http://www.amd.com;http://twitter.com/amd;http://www.facebook.com/amd;http://www.linkedin.com/company/amd;2;;;;
AME Cloud Ventures;https://www.crunchbase.com/organization/ame-cloud-ventures;147;15;Palo Alto, California, United States;Venture Capital;AME Cloud Ventures invests in seed to later-stage tech companies that build infrastructure and value chains around data.;http://www.amecloudventures.com;http://twitter.com/AMECloudVC;https://www.facebook.com/AME-Cloud-Ventures-127912004058296;http://www.linkedin.com/in/nickadams2020;112;7;;;
American Dream Fund LLC.;https://www.crunchbase.com/organization/american-dream-fund-llc;;;El Segundo, California, United States;Micro VC;The American Dream Fund (ADF) offers comprehensive solutions to EB-5 investment needs. We understand that the EB-5 immigration and;http://www.adreamfund.com;https://www.twitter.com/adf_eb5;;;;;;;
American Express Ventures;https://www.crunchbase.com/organization/american-express-ventures;34;3;Palo Alto, California, United States;Corporate Venture Capital;American Express Ventures is a Palo Alto-based venture capital firm focused on both domestic and international investment opportunities.;http://www.amexventures.com;;;;33;8;;;
American River Ventures;https://www.crunchbase.com/organization/american-river-ventures;22;5;Sacramento, California, United States;Venture Capital;American River Ventures is a California-based venture fund specializing in seed, early-stage, and growth capital companies.;http://www.arventures.com;;;;15;8;;;
Amerivon;https://www.crunchbase.com/organization/amerivon-llc;1;;Westlake Village, California, United States;Venture Capital;Amerivon LLC market retail channels by providing access to retail distribution, consulting, and capital.;http://amerivon.com/;;;;1;1;;;
Amgen Ventures;https://www.crunchbase.com/organization/amgen-ventures;52;13;San Francisco, California, United States;Venture Capital;Amgen Ventures is a California-based investment firm focused on early- and late-stage biotechnology companies.;http://www.amgen.com;http://twitter.com/amgen;;http://www.linkedin.com/company/amgen;31;5;;;
Amicus Capital;https://www.crunchbase.com/organization/amicus-capital;95;26;San Francisco, California, United States;Venture Capital;Amicus Capital was founded in 1998 by Bob Zipp and Jim Brock, and focuses on a wide range of capital investment.;http://www.amicuscapital.com;https://twitter.com/amicu5;;https://www.linkedin.com/company/amicus-capital-l.p.;73;3;;;
Amidi Group;https://www.crunchbase.com/organization/amidi-group;3;;Redwood City, California, United States;Micro VC;Amidi Group is a micro-venture capital fund focused on various industries, including real estate and real estate development.;http://www.amidigroup.com;;;;3;;;;
Amidzad Partners;https://www.crunchbase.com/organization/amidzad-partners;43;17;Redwood City, California, United States;Micro VC;Amidzad is a seed and early-stage investment firm focused on investing in emerging growth companies on the West Coast.;http://www.amidzad.com;;;;39;2;;;
Amino Capital;https://www.crunchbase.com/organization/zpark-venture;57;4;Palo Alto, California, United States;Venture Capital;Amino Capital (a.k.a. zPark Capital) focusing on early stage technology startups, followed by series A and B investments.;http://www.aminocapital.com;https://twitter.com/amino_capital;https://www.facebook.com/ZParkVenture?ref=hl;https://www.linkedin.com/profile/view?id=274971149&authType=NAME_SEARCH&authToken=hz0o&locale=en_US&trk=tyah2&trkInfo=tarId%3A1425021063236%2Ctas%3Azpark%20capita%2Cidx%3A1-1-1;51;;;;
Amkey Ventures;https://www.crunchbase.com/organization/amkey-ventures;9;1;Fremont, California, United States;Venture Capital;Amkey Ventures is a California-based VC firm, and their mission is to identify investment opportunities by focusing on cutting-edge;http://www.amkeyvc.com;;;;5;1;;;
Amplify Partners;https://www.crunchbase.com/organization/amplify-partners;29;;Menlo Park, California, United States;Venture Capital;Early-stage venture capital for infrastructure 2.0 entrepreneurs;http://www.amplifypartners.com;http://twitter.com/amplifypartners;;https://www.linkedin.com/company/2926380?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A2926380%2Cidx%3A1-1-1%2CtarId%3A1440601461469%2Ctas%3AAmplify%20Partners;18;4;;;
Analytics Ventures;https://www.crunchbase.com/organization/analytics-ventures;8;1;Rancho Santa Fe, California, United States;Venture Capital;Analytics Ventures is a San Diego-focused seed fund focused on technology, analytics, and online and computational medicine companies.;http://www.analytics-ventures.com;https://twitter.com/analyticstown;http://www.facebook.com/AnalyticsVentures;http://www.linkedin.com/company/2620645;7;;;;
Andra Capital;https://www.crunchbase.com/organization/andra-capital;;;Berkeley, California, United States;Venture Capital;Andra Capital is a technology growth fund focused on late-stage investments, specifically in the Silicon Valley private technology sector.;http://andracapital.com/;;;https://www.linkedin.com/company/andra-capital;;;;;
Andreessen Horowitz;https://www.crunchbase.com/organization/andreessen-horowitz;493;60;Menlo Park, California, United States;Venture Capital;Andreessen Horowitz is a Silicon Valley-based venture capital firm with $2.7 billion under management. They invest from seed to growth.;http://www.a16z.com;http://twitter.com/a16z;http://www.facebook.com/andreessenhorowitz;http://www.linkedin.com/company/andreessen-horowitz;309;151;;;
Anduin Capital;https://www.crunchbase.com/organization/anduin-capital;5;1;Mountain View, California, United States;Micro VC;Anduin Capital is a securities brokerage firm based in Mountain View, California.;;;;;5;;;;
Angel Investors Network;https://www.crunchbase.com/organization/angel-investors-network;16;1;Escondido, California, United States;Angel Group;Angel Investors Network is an online investment platform that provides investors with resources to assess investment opportunities.;http://www.angelnetwork.com;http://twitter.com/AngelInvestNtwk;http://www.facebook.com/AngelInvestorsNetwork;http://www.linkedin.com/company/angel-investors-network;16;4;;;
Angel Labs;https://www.crunchbase.com/organization/angel-labs;1;;San Francisco, California, United States;Angel Group;Angel Investing & Venture Capital education platform with a presence in 38 countries;http://www.angellabs.co/;;http://www.facebook.com/startuplabs.org;;1;;;;
Angeleno Group;https://www.crunchbase.com/organization/angeleno-group;29;5;Los Angeles, California, United States;Private Equity Firm;Angeleno Group (AG) is a California-based private equity firm focused on high growth investments in the energy sector.;http://www.angelenogroup.com;;;;17;10;;;
Angeles Equity Partners;https://www.crunchbase.com/organization/angeles-equity-partners-2;;;Los Angeles, California, United States;Angel Group;Angeles Equity Partners;http://angelesequity.com/?hg=0;;;;;;;;
AngelVision Investors;https://www.crunchbase.com/organization/angelvision-investments;2;;Los Angeles, California, United States;Angel Group;AngelVision Investors is a Los Angeles-based angel investment group focused on the entertainment, marketing, and new media industries.;http://www.angelvisioninvestors.com/about-us;;;;2;;;;
Anthem Venture Partners;https://www.crunchbase.com/organization/anthem-venture-partners;62;14;Santa Monica, California, United States;Venture Capital;Anthem Venture Partners is a venture capital firm.;http://www.anthemvp.com;;;;41;14;;;
Anthos Capital;https://www.crunchbase.com/organization/anthos-capital;6;1;Menlo Park, California, United States;Venture Capital;Anthos Capital is a business management consultant that supports dynamic entrepreneurs building disruptive companies.;http://www.anthoscapital.com;;;;5;2;;;
Aphelion Capital;https://www.crunchbase.com/organization/aphelion-capital;20;5;Mill Valley, California, United States;Venture Capital;Aphelion Capital is a venture capital firm focused on supporting the growth of innovative medical technology with an emphasis on fast to;http://www.aphelioncapital.net;;;;13;;;;
Apollo 13 Angels;https://www.crunchbase.com/organization/apollo-13-angels;;;San Francisco, California, United States;Angel Group;The Angels Institute has been established to develop an intelligent national network of angels.;http://apollo13angels.weebly.com/;https://www.twitter.com/weebly;https://www.facebook.com/weebly;;;;;;
Appcelerator Innovation Fund;https://www.crunchbase.com/organization/appcelerator-innovation-fund;1;;San Jose, California, United States;Venture Capital;Appcelerator Innovation Fund was added in 2012.;;;;;1;;;;
Applied Ventures;https://www.crunchbase.com/organization/applied-ventures;43;10;Santa Clara, California, United States;Corporate Venture Capital;Applied Ventures, LLC is the venture capital fund of Applied Materials, Inc., (NASDAQ: AMAT), the global leader in nanomanufacturing;http://www.appliedmaterials.com/about/ventures;http://twitter.com/Applied_VC;http://www.facebook.com/AppliedMaterialsInc;http://www.linkedin.com/company/applied-materials;30;8;;;
Arafura Ventures;https://www.crunchbase.com/organization/arafura-ventures;6;;Palo Alto, California, United States;Micro VC;Arafura Ventures invests in emerging U.S.-based technology startups and early stage internet software companies.;http://www.arafuraventures.com;;;;5;1;;;
Arba Seed Investment Group;https://www.crunchbase.com/organization/arba-seed-investment-group;5;3;San Francisco, California, United States;Angel Group;Arba is a seed investment group that focuses on the internet, tech, and other new media.;http://www.arbagroup.com/home.html;;;;4;;;;
Arc Venture Partners;https://www.crunchbase.com/organization/arc-venture-partners;;;San Francisco, California, United States;Venture Capital;Arc Venture Partners is a dedicated secondary direct venture capital firm.;http://arcventurepartners.com/;;;https://www.linkedin.com/company/arc-venture-partners;;;;;
Archimedes Capital;https://www.crunchbase.com/organization/archimedes-capital;;;Palo Alto, California, United States;Micro VC;Archimedes Capital invests in a range of venture capital and private equity deals, from seed to pre-IPO or later, focusing on those;http://www.archcap.com;;;;;;;;
